Category: All categories,,,,
,,,,
Week,usc football: (Worldwide),NORMALISED,,
2/7/2010,12,12,,0.8947
2/14/2010,11,11,,
2/21/2010,11,11,,
2/28/2010,9,9,,
3/7/2010,8,8,,
3/14/2010,9,9,,
3/21/2010,9,9,,
3/28/2010,10,10,,
4/4/2010,9,9,,
4/11/2010,11,11,,
4/18/2010,12,12,,
4/25/2010,13,13,,
5/2/2010,10,10,,
5/9/2010,11,11,,
5/16/2010,11,11,,
5/23/2010,9,9,,
5/30/2010,12,12,,
6/6/2010,49,49,,
6/13/2010,15,15,,
6/20/2010,11,11,,
6/27/2010,9,9,,
7/4/2010,14,14,,
7/11/2010,12,12,,
7/18/2010,18,18,,
7/25/2010,17,17,,
8/1/2010,18,18,,
8/8/2010,19,19,,
8/15/2010,22,22,,
8/22/2010,26,26,,
8/29/2010,69,69,,
9/5/2010,60,60,,
9/12/2010,70,70,,
9/19/2010,48,48,,
9/26/2010,44,44,,
10/3/2010,53,53,,
10/10/2010,58,58,,
10/17/2010,40,40,,
10/24/2010,43,43,,
10/31/2010,50,50,,
11/7/2010,40,40,,
11/14/2010,36,36,,
11/21/2010,43,43,,
11/28/2010,51,51,,
12/5/2010,42,42,,
12/12/2010,12,12,,
12/19/2010,11,11,,
12/26/2010,14,14,,
1/2/2011,15,15,,
1/9/2011,13,13,,
1/16/2011,11,11,,
1/23/2011,10,10,,
1/30/2011,15,15,,
2/6/2011,9,9,,
2/13/2011,8,8,,
2/20/2011,8,8,,
2/27/2011,7,7,,
3/6/2011,7,7,,
3/13/2011,6,6,,
3/20/2011,8,8,,
3/27/2011,8,8,,
4/3/2011,8,8,,
4/10/2011,8,8,,
4/17/2011,10,10,,
4/24/2011,9,9,,
5/1/2011,7,7,,
5/8/2011,8,8,,
5/15/2011,7,7,,
5/22/2011,8,8,,
5/29/2011,8,8,,
6/5/2011,11,11,,
6/12/2011,8,8,,
6/19/2011,8,8,,
6/26/2011,7,7,,
7/3/2011,7,7,,
7/10/2011,10,10,,
7/17/2011,14,14,,
7/24/2011,13,13,,
7/31/2011,16,16,,
8/7/2011,17,17,,
8/14/2011,20,20,,
8/21/2011,24,24,,
8/28/2011,58,58,,
9/4/2011,65,65,,
9/11/2011,70,70,,
9/18/2011,55,55,,
9/25/2011,62,62,,
10/2/2011,39,39,,
10/9/2011,50,50,,
10/16/2011,40,40,,
10/23/2011,56,56,,
10/30/2011,71,71,,
11/6/2011,42,42,,
11/13/2011,40,40,,
11/20/2011,78,78,,
11/27/2011,68,68,,
12/4/2011,18,18,,
12/11/2011,13,13,,
12/18/2011,20,20,,
12/25/2011,16,16,,
1/1/2012,19,19,,
1/8/2012,16,16,,
1/15/2012,12,12,,
1/22/2012,12,12,,
1/29/2012,17,17,,
2/5/2012,10,10,,
2/12/2012,8,8,,
2/19/2012,8,8,,
2/26/2012,8,8,,
3/4/2012,9,9,,
3/11/2012,8,8,,
3/18/2012,8,8,,
3/25/2012,9,9,,
4/1/2012,9,9,,
4/8/2012,11,11,,
4/15/2012,10,10,,
4/22/2012,9,9,,
4/29/2012,11,11,,
5/6/2012,8,8,,
5/13/2012,9,9,,
5/20/2012,8,8,,
5/27/2012,9,9,,
6/3/2012,10,10,,
6/10/2012,10,10,,
6/17/2012,9,9,,
6/24/2012,10,10,,
7/1/2012,11,11,,
7/8/2012,15,15,,
7/15/2012,17,17,,
7/22/2012,23,23,,
7/29/2012,26,26,,
8/5/2012,23,23,,
8/12/2012,29,29,,
8/19/2012,38,38,,
8/26/2012,79,79,,
9/2/2012,100,100,,
9/9/2012,67,67,,
9/16/2012,96,96,,
9/23/2012,58,58,,
9/30/2012,58,58,,
10/7/2012,48,48,,
10/14/2012,59,59,,
10/21/2012,51,51,,
10/28/2012,54,54,,
11/4/2012,70,70,,
11/11/2012,69,69,,
11/18/2012,69,69,,
11/25/2012,69,69,,
12/2/2012,15,15,,
12/9/2012,11,11,,
12/16/2012,9,9,,
12/23/2012,13,13,,
12/30/2012,33,33,,
1/6/2013,15,15,,
1/13/2013,11,11,,
1/20/2013,9,9,,
1/27/2013,8,8,,
2/3/2013,14,14,,
2/10/2013,7,7,,
2/17/2013,6,6,,
2/24/2013,7,7,,
3/3/2013,7,7,,
3/10/2013,6,6,,
3/17/2013,5,5,,
3/24/2013,7,7,,
3/31/2013,7,7,,
4/7/2013,8,8,,
4/14/2013,7,7,,
4/21/2013,8,8,,
4/28/2013,8,8,,
5/5/2013,7,7,,
5/12/2013,6,6,,
5/19/2013,6,6,,
5/26/2013,6,6,,
6/2/2013,7,7,,
6/9/2013,7,7,,
6/16/2013,6,6,,
6/23/2013,8,8,,
6/30/2013,7,7,,
7/7/2013,9,9,,
7/14/2013,11,11,,
7/21/2013,13,13,,
7/28/2013,15,15,,
8/4/2013,19,16.9993,,0.8947
8/11/2013,21,18.7887,,
8/18/2013,28,25.0516,,
8/25/2013,91,81.4177,,
9/1/2013,57,50.9979,,
9/8/2013,100,89.47,,
9/15/2013,60,53.682,,
9/22/2013,48,42.9456,,
9/29/2013,82,73.3654,,
10/6/2013,61,54.5767,,
10/13/2013,42,37.5774,,
10/20/2013,57,50.9979,,
10/27/2013,50,44.735,,
11/3/2013,44,39.3668,,
11/10/2013,47,42.0509,,
11/17/2013,86,76.9442,,
11/24/2013,67,59.9449,,
12/1/2013,66,59.0502,,
12/8/2013,20,17.894,,
12/15/2013,24,21.4728,,
12/22/2013,23,20.5781,,
12/29/2013,21,18.7887,,
1/5/2014,16,14.3152,,
1/12/2014,12,10.7364,,
1/19/2014,10,8.947,,
1/26/2014,11,9.8417,,
2/2/2014,17,15.2099,,
2/9/2014,7,6.2629,,
2/16/2014,7,6.2629,,
2/23/2014,7,6.2629,,
3/2/2014,6,5.3682,,
3/9/2014,7,6.2629,,
3/16/2014,6,5.3682,,
3/23/2014,7,6.2629,,
3/30/2014,7,6.2629,,
4/6/2014,7,6.2629,,
4/13/2014,8,7.1576,,
4/20/2014,8,7.1576,,
4/27/2014,7,6.2629,,
5/4/2014,7,6.2629,,
5/11/2014,8,7.1576,,
5/18/2014,7,6.2629,,
5/25/2014,6,5.3682,,
6/1/2014,7,6.2629,,
6/8/2014,8,7.1576,,
6/15/2014,8,7.1576,,
6/22/2014,8,7.1576,,
6/29/2014,7,6.2629,,
7/6/2014,9,8.0523,,
7/13/2014,12,10.7364,,
7/20/2014,13,11.6311,,
7/27/2014,14,12.5258,,
8/3/2014,17,15.2099,,
8/10/2014,19,16.9993,,
8/17/2014,23,20.5781,,
8/24/2014,78,69.7866,,
8/31/2014,83,74.2601,,
9/7/2014,68,60.8396,,
9/14/2014,68,60.8396,,
9/21/2014,54,48.3138,,
9/28/2014,74,66.2078,,
10/5/2014,62,55.4714,,
10/12/2014,70,62.629,,
10/19/2014,47,42.0509,,
10/26/2014,59,52.7873,,
11/2/2014,43,38.4721,,
11/9/2014,58,51.8926,,
11/16/2014,50,44.735,,
11/23/2014,70,62.629,,
11/30/2014,28,25.0516,,
12/7/2014,17,15.2099,,
12/14/2014,11,9.8417,,
12/21/2014,19,16.9993,,
12/28/2014,44,39.3668,,
1/4/2015,12,10.7364,,
1/11/2015,13,11.6311,,
1/18/2015,10,8.947,,
1/25/2015,9,8.0523,,
2/1/2015,20,17.894,,
2/8/2015,9,8.0523,,
2/15/2015,7,6.2629,,
2/22/2015,7,6.2629,,
3/1/2015,7,6.2629,,
3/8/2015,7,6.2629,,
3/15/2015,6,5.3682,,
3/22/2015,7,6.2629,,
3/29/2015,7,6.2629,,
4/5/2015,8,7.1576,,
4/12/2015,7,6.2629,,
4/19/2015,7,6.2629,,
4/26/2015,8,7.1576,,
5/3/2015,7,6.2629,,
5/10/2015,7,6.2629,,
5/17/2015,7,6.2629,,
5/24/2015,6,5.3682,,
5/31/2015,7,6.2629,,
6/7/2015,7,6.2629,,
6/14/2015,7,6.2629,,
6/21/2015,8,7.1576,,
6/28/2015,8,7.1576,,
7/5/2015,9,8.0523,,
7/12/2015,10,8.947,,
7/19/2015,12,10.7364,,
7/26/2015,13,11.6311,,
8/2/2015,17,15.2099,,
8/9/2015,18,16.1046,,
8/16/2015,22,19.6834,,
8/23/2015,34,30.4198,,
8/30/2015,67,59.9449,,
9/6/2015,97,86.7859,,
9/13/2015,80,71.576,,
9/20/2015,82,73.3654,,
9/27/2015,71,63.5237,,
10/4/2015,83,74.2601,,
10/11/2015,94,84.1018,,
10/18/2015,78,69.7866,,
10/25/2015,84,75.1548,,
11/1/2015,51,45.6297,,
11/8/2015,86,76.9442,,
11/15/2015,56,50.1032,,
11/22/2015,67,59.9449,,
11/29/2015,57,50.9979,,
12/6/2015,50,44.735,,
12/13/2015,16,14.3152,,
12/20/2015,16,14.3152,,
12/27/2015,58,51.8926,,
1/3/2016,15,13.4205,,
1/10/2016,15,13.4205,,
1/17/2016,13,11.6311,,
1/24/2016,11,9.8417,,
1/31/2016,17,15.2099,,
2/7/2016,9,8.0523,,
2/14/2016,7,6.2629,,
2/21/2016,7,6.2629,,
2/28/2016,7,6.2629,,
3/6/2016,7,6.2629,,
3/13/2016,7,6.2629,,
3/20/2016,7,6.2629,,
3/27/2016,7,6.2629,,
4/3/2016,8,7.1576,,
4/10/2016,9,8.0523,,
4/17/2016,9,8.0523,,
4/24/2016,8,7.1576,,
5/1/2016,8,7.1576,,
5/8/2016,7,6.2629,,
5/15/2016,7,6.2629,,
5/22/2016,8,7.1576,,
5/29/2016,7,6.2629,,
6/5/2016,8,7.1576,,
6/12/2016,8,7.1576,,
6/19/2016,8,7.1576,,
6/26/2016,8,7.1576,,
7/3/2016,9,8.0523,,
7/10/2016,11,9.8417,,
7/17/2016,12,10.7364,,
7/24/2016,13,11.6311,,
7/31/2016,16,14.3152,,